(1400, 8, 0.5293586269196026)
(1400, 9, 0.53613369467028)
(1400, 10, 0.5383920505871725)
(1400, 11, 0.5221318879855466)
(1400, 12, 0.5316169828364951)
(1400, 13, 0.5343270099367661)
(1400, 14, 0.5271002710027101)
(1400, 15, 0.526196928635953)
(1400, 16, 0.532520325203252)
(1400, 17, 0.5347786811201445)
(1400, 18, 0.5275519421860885)
(1400, 19, 0.530713640469738)
(1400, 20, 0.5320686540198736)
(1500, 1, 0.5298102981029811)
(1500, 2, 0.5347786811201445)
(1500, 3, 0.532520325203252)
(1500, 4, 0.53613369467028)
(1500, 5, 0.5356820234869015)
(1500, 6, 0.533423667570009)
(1500, 7, 0.5329719963866305)
(1500, 8, 0.5284552845528455)
(1500, 9, 0.5374887082204155)
(1500, 10, 0.5415537488708221)
(1500, 11, 0.5230352303523035)
(1500, 12, 0.5329719963866305)
(1500, 13, 0.5329719963866305)
(1500, 14, 0.5257452574525745)
(1500, 15, 0.5298102981029811)
(1500, 16, 0.5329719963866305)
(1500, 17, 0.5383920505871725)
(1500, 18, 0.5284552845528455)
(1500, 19, 0.5293586269196026)
(1500, 20, 0.5338753387533876)
(1600, 1, 0.5343270099367661)
(1600, 2, 0.5343270099367661)
(1600, 3, 0.5266485998193315)
(1600, 4, 0.5356820234869015)
(1600, 5, 0.53613369467028)
(1600, 6, 0.528906955736224)
(1600, 7, 0.5302619692863595)
(1600, 8, 0.5257452574525745)
(1600, 9, 0.5388437217705511)
(1600, 10, 0.540650406504065)
(1600, 11, 0.526196928635953)
(1600, 12, 0.532520325203252)
(1600, 13, 0.530713640469738)
(1600, 14, 0.5311653116531165)
(1600, 15, 0.5284552845528455)
(1600, 16, 0.532520325203252)
(1600, 17, 0.535230352303523)
(1600, 18, 0.5271002710027101)
(1600, 19, 0.5311653116531165)
(1600, 20, 0.532520325203252)
(1700, 1, 0.5293586269196026)
(1700, 2, 0.5347786811201445)
(1700, 3, 0.5275519421860885)
(1700, 4, 0.5343270099367661)
(1700, 5, 0.535230352303523)
(1700, 6, 0.530713640469738)
(1700, 7, 0.5311653116531165)
(1700, 8, 0.5257452574525745)
(1700, 9, 0.5370370370370371)
(1700, 10, 0.5383920505871725)
(1700, 11, 0.5271002710027101)
(1700, 12, 0.5311653116531165)
(1700, 13, 0.5316169828364951)
(1700, 14, 0.528906955736224)
(1700, 15, 0.528906955736224)
(1700, 16, 0.5338753387533876)
(1700, 17, 0.5374887082204155)
(1700, 18, 0.5293586269196026)
(1700, 19, 0.5311653116531165)
(1700, 20, 0.5311653116531165)
(1800, 1, 0.5338753387533876)
(1800, 2, 0.5365853658536586)
(1800, 3, 0.5284552845528455)
(1800, 4, 0.5338753387533876)
(1800, 5, 0.5329719963866305)
(1800, 6, 0.5298102981029811)
(1800, 7, 0.5293586269196026)
(1800, 8, 0.5239385727190605)
(1800, 9, 0.533423667570009)
(1800, 10, 0.535230352303523)
(1800, 11, 0.5275519421860885)
(1800, 12, 0.5311653116531165)
(1800, 13, 0.5338753387533876)
(1800, 14, 0.528906955736224)
(1800, 15, 0.5275519421860885)
(1800, 16, 0.5311653116531165)
(1800, 17, 0.5343270099367661)
(1800, 18, 0.5298102981029811)
(1800, 19, 0.5311653116531165)
(1800, 20, 0.5338753387533876)
(1900, 1, 0.5302619692863595)
(1900, 2, 0.532520325203252)
(1900, 3, 0.5271002710027101)
(1900, 4, 0.5320686540198736)
(1900, 5, 0.5329719963866305)
(1900, 6, 0.5284552845528455)
(1900, 7, 0.528906955736224)
(1900, 8, 0.525293586269196)
(1900, 9, 0.5316169828364951)
(1900, 10, 0.5356820234869015)
(1900, 11, 0.5293586269196026)
(1900, 12, 0.532520325203252)
(1900, 13, 0.5356820234869015)
(1900, 14, 0.528906955736224)
(1900, 15, 0.5293586269196026)
(1900, 16, 0.5293586269196026)
(1900, 17, 0.5316169828364951)
(1900, 18, 0.5311653116531165)
(1900, 19, 0.5311653116531165)
(1900, 20, 0.5343270099367661)
(2000, 1, 0.5347786811201445)
(2000, 2, 0.5298102981029811)
(2000, 3, 0.5293586269196026)
(2000, 4, 0.53613369467028)
(2000, 5, 0.5316169828364951)
(2000, 6, 0.528003613369467)
(2000, 7, 0.530713640469738)
(2000, 8, 0.525293586269196)
(2000, 9, 0.5311653116531165)
(2000, 10, 0.5365853658536586)
(2000, 11, 0.5298102981029811)
(2000, 12, 0.533423667570009)
(2000, 13, 0.5316169828364951)
(2000, 14, 0.5302619692863595)
(2000, 15, 0.5298102981029811)
(2000, 16, 0.528906955736224)
(2000, 17, 0.5329719963866305)
(2000, 18, 0.5302619692863595)
(2000, 19, 0.5293586269196026)
(2000, 20, 0.533423667570009)
300 6 0.5447154471544715
